factor,n_days_5d,rankic_days_5d,constant_xs_days_5d,mean_rank_ic_5d,rank_icir_5d,ic_hit_rate_5d,n_days_10d,rankic_days_10d,constant_xs_days_10d,mean_rank_ic_10d,rank_icir_10d,ic_hit_rate_10d,n_days_20d,rankic_days_20d,constant_xs_days_20d,mean_rank_ic_20d,rank_icir_20d,ic_hit_rate_20d,quantile_days_5d,quantile_min_buckets_5d,quantile_max_buckets_5d,reduced_quantile_dates_5d,monotonic,mono_corr,mono_p_value,ls_ann_return,ls_sharpe,ls_max_dd,grade
mom_volscaled_20d,1707,1707,0,-0.0438835498924213,-0.3194356933361561,0.5600468658465143,1707,1707,0,-0.047011132183349465,-0.32343897282619694,0.5629759812536614,1707,1707,0,-0.05271626854882035,-0.3471237307920601,0.5612185120093731,1707,5,5,0,False,-0.7,0.1881204043741873,-0.9894389510154724,-2.747099060780115,8.284975051879883,B
mom_volscaled_60d,1707,1707,0,-0.04573739174882835,-0.33938494492171917,0.5869947275922671,1707,1707,0,-0.053554830531436406,-0.38258531921512706,0.6121851200937317,1707,1707,0,-0.0611549009360709,-0.42567527743842404,0.6244874048037493,1707,5,5,0,True,-0.9999999999999999,1.4042654220543672e-24,-1.050886869430542,-3.0862794997006744,8.229663848876953,B
rev_gap_reversal_1d,1707,1707,0,-0.018374832298615487,-0.25520373851427486,0.6889279437609842,1707,1707,0,-0.020805432119186434,-0.31335261583045465,0.69302870533099,1707,1707,0,-0.0224124497112938,-0.3338857952217905,0.6666666666666666,1707,4,5,14,False,-0.7,0.1881204043741873,-0.7906652092933655,-3.5554408258022145,5.399872303009033,C
rev_high_turnover_1d,1707,1707,0,0.02176477889177371,0.1834574500354744,0.6420620972466315,1707,1707,0,0.010702310183310252,0.09416593898498006,0.6561218512009374,1707,1707,0,0.01147153762478695,0.10010640732398567,0.6690099589923842,1707,5,5,0,False,0.39999999999999997,0.5046315754686911,0.6282091736793518,2.092547946914135,0.3695213794708252,C
rev_turnover_spike_5d,1707,1707,0,0.03692163205878828,0.2967932795025858,0.6414762741652021,1707,1707,0,0.02971685022062378,0.2436617386702054,0.6637375512595196,1707,1707,0,0.03255635312864279,0.2683201691211111,0.7240773286467487,1707,5,5,0,False,0.39999999999999997,0.5046315754686911,0.876041829586029,2.5983931885596423,0.5244903564453125,C
risk_gap_vol_20d,1707,1707,0,-0.0558054864802982,-0.3847890064468587,0.6221441124780316,1707,1707,0,-0.06673102973842078,-0.46030416693144294,0.6432337434094904,1707,1707,0,-0.07749304889185774,-0.547495026966903,0.6813122437024018,1707,5,5,0,False,-0.7,0.1881204043741873,-0.8838388919830322,-2.422427700124521,6.432524681091309,B
risk_garman_klass_20d,1707,1707,0,-0.06630767269475611,-0.3909342791917445,0.5998828353837141,1707,1707,0,-0.08036721868081081,-0.4752102630426585,0.6239015817223199,1707,1707,0,-0.09607889764190851,-0.5701687837664274,0.6684241359109548,1707,5,5,0,False,-0.7,0.1881204043741873,-1.0241379737854004,-2.437917935459752,7.742588996887207,B
risk_parkinson_logrange_120d,1707,1707,0,-0.04826565164277436,-0.25025899808952884,0.5536028119507909,1707,1707,0,-0.06239140852764717,-0.3186340776252024,0.5881663737551259,1707,1707,0,-0.08170974385836129,-0.41879628712594813,0.6338605741066198,1707,5,5,0,False,-0.7,0.1881204043741873,-0.5756797194480896,-1.2358557428678911,4.639063835144043,C
risk_parkinson_logrange_20d,1707,1707,0,-0.06492770097064307,-0.36928443876657,0.6057410661980082,1707,1707,0,-0.07862126204925245,-0.4471706332156737,0.6250732278851787,1707,1707,0,-0.09412241899893628,-0.5372640726837944,0.664323374340949,1707,5,5,0,False,-0.7,0.1881204043741873,-0.966762363910675,-2.2055962839055936,7.363770484924316,B
risk_parkinson_logrange_60d,1707,1707,0,-0.056099615511515155,-0.2928697355700434,0.5670767428236673,1707,1707,0,-0.07113537070886362,-0.36960543943699414,0.6086701816051553,1707,1707,0,-0.09000563380466621,-0.4729200446120256,0.6619800820152314,1707,5,5,0,False,-0.7,0.1881204043741873,-0.7929246425628662,-1.6870183955654474,6.057561874389648,C
tech_high_breakout_age_250d,1707,1707,0,0.0006771199843378348,0.0075819605099168245,0.520796719390744,1707,1707,0,-0.00032906261177553423,-0.003406087438915693,0.4774458113649678,1707,1707,0,-0.0025694656089955085,-0.02465477667642713,0.5202108963093146,1707,3,5,223,False,0.09999999999999999,0.8728885715695383,0.09487257152795792,0.3806323702783699,1.0952339172363281,D
